type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets/audio/ch2/01-mab_are_you_well.mp3,,are you well,ʔaǰɛčxʷot,Mabel,
c,assets/audio/ch2/02-l_I'm_fine.mp3,,I'm fine,ʔi čɛnʔot  čɩnɛ,Lawrence,
c,assets/audio/ch2/03-l_how_about_you.mp3,,how about you,čɩm ga nɩgɩ,Lawrence,
c,assets/audio/ch2/04-mab_very_good.mp3,,very good,ʔimot,Mabel,
p,assets/audio/ch2/06-mab_are_you_well.mp3,,are you well,ʔaǰɛčxʷot,Mabel,
n,,,,,,"ʔaǰɛčxʷot means ""Are you well?"", and it is used in conversation with the same function as ""How are you?"". It is customary to respond in the same way."
r,assets/audio/ch2/06-mab_are_you_well.mp3,,are you well,ʔaǰɛčxʷot,Mabel,
p,assets/audio/ch2/05-mab_I'm_fine.mp3,,I'm fine,ʔi čɛnʔot čɩnɛ,Mabel,
p,assets/audio/ch2/07-mab_good.mp3,,fine/good,ʔi,Mabel,
r,assets/audio/ch2/09-mab_very_good.mp3,,very good,ʔimot,Mabel,
t,assets/audio/ch2/08-l_good.mp3,,fine/good,ʔi,Lawrence,
n,,,,,,"ʔimot can be used as an expression of gratitude in casual conversation. A literal translation is ""very good"". The mot suffix is a common way of emphasizing a word in ayajuthem."
p,assets/audio/ch2/05-mab_I'm_fine.mp3,,I'm fine,ʔi čɛnʔot čɩnɛ,Mabel,
p,assets/audio/ch2/12-mab_me.mp3,,me,činɛ,Mabel,
r,assets/audio/ch2/10-mab_you.mp3,,you,nɩgɩ,Mabel,
t,assets/audio/ch2/13-l_me.mp3,,me,čɩnɛ,Lawrence,
t,assets/audio/ch2/11-l_you.mp3,,you,nɩgɩ,Lawrence,
,assets/audio/ch2/14-l_I'm bad.mp3,,I'm sick,hɛhɛwč ɬaχayɩt,Lawrence,
,assets/audio/ch2/15-l_really_hot.mp3,,really hot,hɛhɛw kʷəs,Lawrence,
,assets/audio/ch2/16-mab_I'm_bad.mp3,,I'm sick,hɛhɛwč ɬaχayɩt,Mabel,
,assets/audio/ch2/17-mab_hot.mp3,,hot,kʷas,Mabel,
,assets/audio/ch2/18-mab_bad.mp3,,bad,ɬaχ,Mabel,
,assets/audio/ch2/19-mab_sick.mp3,,sick,laχayɩt,Mabel,
,assets/audio/ch2/20-mab_hot.mp3,,hot,kʷas,Mabel,
,assets/audio/ch2/21-l_sleepy.mp3,,sleepy,ƛɩčtəm,Lawrence,
,assets/audio/ch2/22-mab_why.mp3,,why,čɩm ga,Mabel,
,assets/audio/ch2/23-l_it was a bad sleep.mp3,,it was a bad sleep,ɬaχmot ƛɩčt,Lawrence,
,assets/audio/ch2/24-mab_sleepy.mp3,,sleepy,ƛɩčtəm,Mabel,
,assets/audio/ch2/25-mab_It was a bad sleep last night.mp3,,It was a bad sleep last night,ɬaχmot ƛɩčt snanatoɬ,Mabel,
,assets/audio/ch2/26-mab_sleep.mp3,,sleep,ƛičt,Mabel,
,assets/audio/ch2/27-mab_sleepy.mp3,,sleepy,ƛɩčtəm,Mabel,
,assets/audio/ch2/28-mab_bad_sleep.mp3,,bad sleep,ɬaχmot ƛičt,Mabel,
,assets/audio/ch2/29-last_night.mp3,,night,snanatoɬ,Lawrence,
,assets/audio/ch2/30-mab_are you all well.mp3,,are you all well,ʔaǰɛčɛpʔot,Mabel,
,assets/audio/ch2/31-l_we're okay.mp3,,we're okay,ʔičɛtʔot,Lawrence,
,assets/audio/ch2/32-mab_are you all alright.mp3,,are you all alright,ʔukʷa čɛpot ʔi,Mabel,
,assets/audio/ch2/33-l_we're all okay.mp3,,we're all okay,ʔukʷštəm ʔi nɛmoɬ,Lawrence,
,assets/audio/ch2/34-mab_we're okay.mp3,,we're okay,ʔukʷštəm ʔi,Mabel,
,assets/audio/ch2/35-mab_we're all okay.mp3,,we're all okay,ʔukʷštəm ʔi,Mabel,
,assets/audio/ch2/36-mab_we.mp3,,we,čɛt,Mabel,
,assets/audio/ch2/37-mab_all.mp3,,all,ʔukʷ,Mabel,
,assets/audio/ch2/38-mab_us.mp3,,us,nɛmoɬ,Mabel,
,assets/audio/ch2/39-mab_It's a really sunny day today.mp3,,It's a really sunny day today,hɛhɛw ʔimot stokʷ tɛtɛχəm,Mabel,
,assets/audio/ch2/40-mab_feelings.mp3,,feelings,qʷayɩgən,Mabel,
